bib,last_name,first_name,team
1,VINGEGAARD,Jonas,Team Visma Lease a Bike
2,BENOOT,Tiesj,Team Visma Lease a Bike
3,JORGENSON,Matteo,Team Visma Lease a Bike
4,KELDERMAN,Wilco,Team Visma Lease a Bike
5,LAPORTE,Christophe,Team Visma Lease a Bike
6,LEMMEN,Bart,Team Visma Lease a Bike
7,TRATNIK,Jan,Team Visma Lease a Bike
8,VAN AERT,Wout,Team Visma Lease a Bike
11,POGAČAR,Tadej,UAE Team Emirates
12,AYUSO,Juan,UAE Team Emirates
13,ALMEIDA,Joao,UAE Team Emirates
14,POLITT,Nils,UAE Team Emirates
15,SIVAKOV,Pavel,UAE Team Emirates
16,SOLER,Marc,UAE Team Emirates
17,WELLENS,Tim,UAE Team Emirates
18,YATES,Adam,UAE Team Emirates
21,YATES,Simon,Team Jayco AlUla
22,DURBRIDGE,Luke,Team Jayco AlUla
23,GROENEWEGEN,Dylan,Team Jayco AlUla
24,HARPER,Chris,Team Jayco AlUla
25,JUUL-JENSEN,Christopher,Team Jayco AlUla
26,MATTHEWS,Michael,Team Jayco AlUla
27,MEZGEC,Luka,Team Jayco AlUla
28,REINDERS,Elmar,Team Jayco AlUla
31,BERNAL,Egan,INEOS Grenadiers
32,CASTROVIEJO,Jonathan,INEOS Grenadiers
33,DE PLUS,Laurens,INEOS Grenadiers
34,KWIATKOWSKI,Michal,INEOS Grenadiers
35,PIDCOCK,Thomas,INEOS Grenadiers
36,RODRIGUEZ CANO,Carlos,INEOS Grenadiers
35,THOMAS,Geraint,INEOS Grenadiers
38,TURNER,Ben,INEOS Grenadiers
41,CICCONE,Giulio,Lidl-Trek
42,BERNARD,Julien,Lidl-Trek
43,DECLERCQ,Tim,Lidl-Trek
44,GIBBONS,Ryan,Lidl-Trek
45,PEDERSEN,Mads,Lidl-Trek
46,SKUJINS,Toms,Lidl-Trek
47,STUYVEN,Jasper,Lidl-Trek
48,VERONA,Carlos,Lidl-Trek
51,GALL,Felix,Décathlon AG2R La Mondiale Team
52,ARMIRAIL,Bruno,Décathlon AG2R La Mondiale Team
53,BENNETT,Sam,Décathlon AG2R La Mondiale Team
54,GODON,Dorian,Décathlon AG2R La Mondiale Team
55,LAPEIRA,Paul,Décathlon AG2R La Mondiale Team
56,NAESEN,Oliver,Décathlon AG2R La Mondiale Team
57,PETERS,Nans,Décathlon AG2R La Mondiale Team
58,PRODHOMME,Nicolas,Décathlon AG2R La Mondiale Team
61,BILBAO,Pello,Bahrain - Victorious
62,ARNDT,Nikias,Bahrain - Victorious
63,BAUHAUS,Phil,Bahrain - Victorious
64,BUITRAGO,Santiago,Bahrain - Victorious
65,HAIG,Jack,Bahrain - Victorious
66,MOHORIC,Matej,Bahrain - Victorious
67,POELS,Wouter,Bahrain - Victorious
68,WRIGHT,Fred,Bahrain - Victorious
71,EVENEPOEL,Remco,Soudal - Quick Step
72,HIRT,Jan,Soudal - Quick Step
73,LAMPAERT,Yves,Soudal - Quick Step
74,LANDA,Mikel,Soudal - Quick Step
75,MOSCON,Gianni,Soudal - Quick Step
76,PEDERSEN,Casper,Soudal - Quick Step
77,VAN WILDER,Ilan,Soudal - Quick Step
78,VERVAEKE,Louis,Soudal - Quick Step
81,ROGLIC,Primoz,Red Bull - BORA - Hansgrohe
82,DENZ,Nico,Red Bull - BORA - Hansgrohe
83,HALLER,Marco,Red Bull - BORA - Hansgrohe
84,HINDLEY,Jai,Red Bull - BORA - Hansgrohe
85,JUNGELS,Bob,Red Bull - BORA - Hansgrohe
86,SOBRERO,Matteo,Red Bull - BORA - Hansgrohe
87,VAN POPPEL,Danny,Red Bull - BORA - Hansgrohe
88,VLASOV,Aleksandr,Red Bull - BORA - Hansgrohe
91,GAUDU,David,Groupama - FDJ
92,GENIETS,Kévin,Groupama - FDJ
93,GREGOIRE,Romain,Groupama - FDJ
94,KÜNG,Stefan,Groupama - FDJ
95,MADOUAS,Valentin,Groupama - FDJ
96,MARTINEZ,Lenny,Groupama - FDJ
97,PACHER,Quentin,Groupama - FDJ
98,RUSSO,Clément,Groupama - FDJ
101,VAN DER POEL,Mathieu,Alpecin-Deceuninck
