bib,last_name,first_name,team
1,ROGLIČ,Primož,Jumbo-Visma
2,GESINK,Robert,Jumbo-Visma
3,KELDERMAN,Wilco,Jumbo-Visma
4,KUSS,Sepp,Jumbo-Visma
5,TRATNIK,Jan,Jumbo-Visma
6,VALTER,Attila,Jumbo-Visma
7,VAN BAARLE,Dylan,Jumbo-Visma
8,VINGEGAARD,Jonas,Jumbo-Visma
11,ALMEIDA,João,UAE Team Emirates
12,OLIVEIRA,Rui,UAE Team Emirates
13,AYUSO PESQUERA,Juan,UAE Team Emirates
14,FISHER-BLACK,Finn,UAE Team Emirates
15,MOLANO BENAVIDES,Juan Sebastián,UAE Team Emirates
16,NOVAK,Domen,UAE Team Emirates
17,SOLER,Marc,UAE Team Emirates
18,VINE,Jay,UAE Team Emirates
21,MAS NICOLAU,Enric,Movistar Team
22,ARCAS,Jorge,Movistar Team
23,GARCIA CORTINA,Ivan,Movistar Team
24,LAZKANO LOPEZ,Oier,Movistar Team
25,OLIVEIRA,Nelson,Movistar Team
26,RUBIO,Einer Augusto,Movistar Team
27,GUERREIRO,Ruben,Movistar Team
28,ERVITI,Imanol,Movistar Team
31,THOMAS,Geraint,INEOS Grenadiers
32,ARENSMAN,Thymen,INEOS Grenadiers
33,BERNAL GOMEZ,Egan Arley,INEOS Grenadiers
34,CASTROVIEJO,Jonathan,INEOS Grenadiers
35,DE PLUS,Laurens,INEOS Grenadiers
36,GANNA,Filippo,INEOS Grenadiers
37,FRAILE MATARRANZ,Omar,INEOS Grenadiers
38,HEIDUK,Kim Alexander,INEOS Grenadiers
41,EVENEPOEL,Remco,Soudal - Quick Step
42,CATTANEO,Mattia,Soudal - Quick Step
43,BAGIOLI,Andrea,Soudal - Quick Step
44,HIRT,Jan,Soudal - Quick Step
45,KNOX,James,Soudal - Quick Step
46,PEDERSEN,Casper Phillip,Soudal - Quick Step
47,SERRY,Pieter,Soudal - Quick Step
48,VERVAEKE,Louis,Soudal - Quick Step
51,DE LA CRUZ MELGAREJO,David,Astana Qazaqstan Team
52,BATTISTELLA,Samuele,Astana Qazaqstan Team
53,DOMBROWSKI,Joseph Lloyd,Astana Qazaqstan Team
54,FELLINE,Fabio,Astana Qazaqstan Team
55,PRONSKIY,Vadim,Astana Qazaqstan Team
56,ROMO OLIVER,Javier,Astana Qazaqstan Team
57,SANCHEZ,Luis Leon,Astana Qazaqstan Team
58,ZEITS,Andrey,Astana Qazaqstan Team
61,BARDET,Romain,Team DSM-Firmenich
62,COMBAUD,Romain,Team DSM-Firmenich
63,FLYNN,Sean,Team DSM-Firmenich
64,HAMILTON,Christopher,Team DSM-Firmenich
65,MILESI,Lorenzo,Team DSM-Firmenich
66,ONLEY,Oscar,Team DSM-Firmenich
67,POOLE,Max,Team DSM-Firmenich
68,DAINESE,Alberto,Team DSM-Firmenich
71,BOUCHARD,Geoffrey,AG2R Citroën Team
72,CHEREL,Mikael,AG2R Citroën Team
73,GODON,Dorian,AG2R Citroën Team
74,LAPEIRA,Paul,AG2R Citroën Team
75,TOUZE,Damien,AG2R Citroën Team
76,VENDRAME,Andrea,AG2R Citroën Team
77,WARBASSE,Lawrence,AG2R Citroën Team
78,PRODHOMME,Nicolas,AG2R Citroën Team
81,DE GENDT,Thomas,Lotto Dstny
82,DRIZNERS,Jarrad,Lotto Dstny
83,GRIGNARD,Sébastien,Lotto Dstny
84,KRON,Andreas Lorentz,Lotto Dstny
85,MENTEN,Milan,Lotto Dstny
86,MONIQUET,Sylvain,Lotto Dstny
87,SEPULVEDA,Eduardo,Lotto Dstny
88,VAN EETVELT,Lennert,Lotto Dstny
91,CRAS,Steff,TotalEnergies
92,BONNET,Thomas,TotalEnergies
93,DOUBEY,Fabien,TotalEnergies
94,JOUSSEAUME,Alan,TotalEnergies
95,LATOUR,Pierre,TotalEnergies
96,OURSELIN,Paul,TotalEnergies
97,SOUPE,Geoffrey,TotalEnergies
98,VAN GESTEL,Dries,TotalEnergies
101,AULAR,Orluis,Caja Rural-Segurosrga
102,BALDERSTONE,Abel,Caja Rural-Segurosrga
103,BARCELO ARAGON,Fernando,Caja Rural-Segurosrga
104,BARRENETXEA GOLZARRI,Jon,Caja Rural-Segurosrga
105,CEPEDA,Jefferson Alveira,Caja Rural-Segurosrga
106,GONZALEZ LOPEZ,David,Caja Rural-Segurosrga
107,NICOLAU,Joel,Caja Rural-Segurosrga
108,SCHLEGEL,Michal,Caja Rural-Segurosrga
111,BUITRAGO,Santiago,Bahrain - Victorious
112,CARUSO,Damiano,Bahrain - Victorious
113,GOVEKAR,Matevz,Bahrain - Victorious
114,GRADEK,Kamil,Bahrain - Victorious
115,LANDA MEANA,Mikel,Bahrain - Victorious
116,POELS,Wout,Bahrain - Victorious
117,SÜTTERLIN,Jasha,Bahrain - Victorious
118,TIBERI,Antonio,Bahrain - Victorious
121,GOOSSENS,Kobe,Intermarché - Circus - Wanty
122,HERREGODTS,Rune,Intermarché - Circus - Wanty
123,JOHANSEN,Julius,Intermarché - Circus - Wanty
124,PAGE,Hugo,Intermarché - Circus - Wanty
125,TAARAMÄE,Rein,Intermarché - Circus - Wanty
126,THIJSSEN,Gerben,Intermarché - Circus - Wanty
127,VAN POPPEL,Boy,Intermarché - Circus - Wanty
128,FARIA DA COSTA,Rui Alberto,Intermarché - Circus - Wanty
131,DUNBAR,Edward,Team Jayco AlUla
132,SOBRERO,Matteo,Team Jayco AlUla
133,ZANA,Filippo,Team Jayco AlUla
134,SCOTSON,Callum,Team Jayco AlUla
135,HEPBURN,Michael,Team Jayco AlUla
136,BERHE,Welay,Team Jayco AlUla
137,ENGELHARDT,Felix,Team Jayco AlUla
138,MAAS,Jan,Team Jayco AlUla
141,ASKEY,Lewis,Groupama - FDJ
142,DAVY,Clément,Groupama - FDJ
143,GERMANI,Lorenzo,Groupama - FDJ
144,GREGOIRE,Romain,Groupama - FDJ
145,MARTINEZ,Lenny,Groupama - FDJ
146,MOLARD,Rudy,Groupama - FDJ
147,STORER,Michael,Groupama - FDJ
148,WATSON,Samuel,Groupama - FDJ
151,VAUQUELIN,Kévin,Team Arkéa Samsic
152,GESBERT,Elie,Team Arkéa Samsic
153,HOFSTETTER,Hugo,Team Arkéa Samsic
154,LE BERRE,Mathis,Team Arkéa Samsic
155,LEDANOIS,Kevin,Team Arkéa Samsic
156,OWSIAN,Lukasz,Team Arkéa Samsic
157,RIES,Michel,Team Arkéa Samsic
158,RODRIGUEZ MARTIN,Cristian,Team Arkéa Samsic
161,BERNARD,Julien,Lidl-Trek
162,ELISSONDE,Kenny,Lidl-Trek
163,GHEBREIGZABHIER WERKILUL,Amanuel,Lidl-Trek
164,LOPEZ PEREZ,Juan Pedro,Lidl-Trek
165,MOLLEMA,Bauke,Lidl-Trek
166,MOSCA,Jacopo,Lidl-Trek
167,THEUNS,Edward,Lidl-Trek
168,VERGAERDE,Otto,Lidl-Trek
171,BISSEGGER,Stefan,EF Education-EasyPost
172,CAICEDO,Jonathan,EF Education-EasyPost
173,CAMARGO PINEDA,Diego Andres,EF Education-EasyPost
174,CARTHY,Hugh John,EF Education-EasyPost
175,PICCOLO,Andrea,EF Education-EasyPost
176,QUINN,Sean,EF Education-EasyPost
177,VAN DEN BERG,Marijn,EF Education-EasyPost
178,VAN DEN BERG,Julius,EF Education-EasyPost
181,CIMOLAI,Davide,Cofidis
182,BIDARD,François,Cofidis
183,RODRIGUES DE CARVALHO,André,Cofidis
184,COQUARD,Bryan,Cofidis
185,FERNANDEZ,Ruben,Cofidis
186,HERRADA,Jesus,Cofidis
187,HERRADA,Jose,Cofidis
188,ROCHAS,Rémy,Cofidis
191,BUCHMANN,Emanuel,BORA - Hansgrohe
192,DENZ,Nico,BORA - Hansgrohe
193,HIGUITA GARCIA,Sergio Andres,BORA - Hansgrohe
194,KÄMNA,Lennard,BORA - Hansgrohe
195,KOCH,Jonas,BORA - Hansgrohe
196,UIJTDEBROEKS,Cian,BORA - Hansgrohe
197,VLASOV,Aleksandr,BORA - Hansgrohe
198,ZWIEHOFF,Ben,BORA - Hansgrohe
201,DIAZ GALLEGO,Jose Manuel,Burgos-BH
202,BARTHE,Cyril,Burgos-BH
203,BOL,Jetse,Burgos-BH
204,EZQUERRA MUELA,Jesus,Burgos-BH
205,FAGUNDEZ,Eric Antonio,Burgos-BH
206,NAVARRO GARCIA,Daniel,Burgos-BH
207,OKAMIKA BENGOETXEA,Ander,Burgos-BH
208,SANCHEZ MAYO,Pelayo,Burgos-BH
211,GROVES,Kaden,Alpecin-Deceuninck
212,BALLERSTEDT,Maurice,Alpecin-Deceuninck
213,BAYER,Tobias,Alpecin-Deceuninck
214,GAZE,Samuel,Alpecin-Deceuninck
215,GHYS,Robbe,Alpecin-Deceuninck
216,JANSSENS,Jimmy,Alpecin-Deceuninck
217,OSBORNE,Jason,Alpecin-Deceuninck
218,PLANCKAERT,Edward,Alpecin-Deceuninck
