number,date,stage_type,length,departure,arrival,image_map
1,26/08/2023,Chrono equipe,14.8,Barcelona,Barcelona,https://res.cloudinary.com/dciokrtia/image/upload/v1691091819/Vuelta_Etape_1_rqlnt4.png
2,27/08/2023,Accidentee,182,Mataró,Barcelona,https://res.cloudinary.com/dciokrtia/image/upload/v1691091819/Vuelta_Etape_2_twn6dg.png
3,28/08/2023,Montagne,158.5,Súria,Arinsal. Andorra,https://res.cloudinary.com/dciokrtia/image/upload/v1691091819/Vuelta_Etape_3_lve2ps.png
4,29/08/2023,Accidentee,183.5,Andorra la Vella.Andorra,Tarragona,https://res.cloudinary.com/dciokrtia/image/upload/v1691091819/Vuelta_Etape_4_hokfhu.png
5,30/08/2023,Accidentee,186.5,Morella,Burriana,https://res.cloudinary.com/dciokrtia/image/upload/v1691091819/Vuelta_Etape_5_ghkw2q.png
6,31/08/2023,Montagne,183.5,La Vall d'Uixó,Pico del Buitre. Observatorio Astrofísico de Javalambre,https://res.cloudinary.com/dciokrtia/image/upload/v1691091819/Vuelta_Etape_6_db7esw.png
7,01/09/2023,Plat,201,Utiel,Oliva,https://res.cloudinary.com/dciokrtia/image/upload/v1691091819/Vuelta_Etape_7_ezpa4q.png
8,02/09/2023,Montagne,165,Dénia,Xorret de Catí. Costa Blanca Interior,https://res.cloudinary.com/dciokrtia/image/upload/v1691091819/Vuelta_Etape_8_lvp6c6.png
9,03/09/2023,Accidentee,184.5,Cartagena,Collado de la Cruz de Caravaca,https://res.cloudinary.com/dciokrtia/image/upload/v1691091819/Vuelta_Etape_9_numden.png
10,05/09/2023,Chrono,25.8,Valladolid,Valladolid,https://res.cloudinary.com/dciokrtia/image/upload/v1691091820/Vuelta_Etape_10_ycqlwz.png
11,06/09/2023,Plat,163.5,Lerma,La Laguna Negra.Vinuesa,https://res.cloudinary.com/dciokrtia/image/upload/v1691091819/Vuelta_Etape_11_wjlder.png
12,07/09/2023,Plat,151,Ólvega,Zaragoza,https://res.cloudinary.com/dciokrtia/image/upload/v1691091819/Vuelta_Etape_12_ygeyeq.png
13,08/09/2023,Montagne,135,Formigal. Huesca la Magia,Col du Tourmalet,https://res.cloudinary.com/dciokrtia/image/upload/v1691091820/Vuelta_Etape_13_qukxws.png
14,09/09/2023,Montagne,156.5,Sauveterre-de-Béarn,Larra-Belagua,https://res.cloudinary.com/dciokrtia/image/upload/v1691091820/Vuelta_Etape_14_nqr8tg.png
15,10/09/2023,Accidentee,158.5,Pamplona,Lekunberri,https://res.cloudinary.com/dciokrtia/image/upload/v1691091820/Vuelta_Etape_15_ilp01j.png
16,12/09/2023,Plat,120.5,Liencres Playa,Bejes,https://res.cloudinary.com/dciokrtia/image/upload/v1691091820/Vuelta_Etape_16_hi6dva.png
17,13/09/2023,Montagne,124.5,Ribadesella / Ribeseya,Altu deL'Angliru,https://res.cloudinary.com/dciokrtia/image/upload/v1691091821/Vuelta_Etape_17_dchubn.png
18,14/09/2023,Montagne,179,Pola de Allande,La Cruz de Linares,https://res.cloudinary.com/dciokrtia/image/upload/v1691091820/Vuelta_Etape_18_zhzxne.png
19,15/09/2023,Plat,177.5,La Bañeza,Íscar,https://res.cloudinary.com/dciokrtia/image/upload/v1691091820/Vuelta_Etape_19_flwhxb.png
20,16/09/2023,Accidentee,208,Manzanares El Real,Guadarrama,https://res.cloudinary.com/dciokrtia/image/upload/v1691091820/Vuelta_Etape_20_vrh6nu.png
21,17/09/2023,Plat,101.5,Hipódromo de la Zarzuela,Madrid. Paisaje de la Luz,https://res.cloudinary.com/dciokrtia/image/upload/v1691091820/Vuelta_Etape_21_jz4viw.png
